metric_a,metric_b,abs_corr
crossing_ratio,ot_shots_faced_ratio,1.0
np_psxg_faced_90,npot_psxg_faced_90,1.0
obv_gk_90,obv_shot_90,1.0
np_xg_per_shot,ot_shots_faced_ratio,1.0
ot_shots_faced_ratio,shot_on_target_ratio,1.0
obv_gk_90,shot_on_target_ratio,1.0
np_xg_per_shot,obv_gk_90,1.0
crossing_ratio,obv_gk_90,0.9999999999999999
obv_shot_90,ot_shots_faced_ratio,0.9999999999999998
aerial_ratio,ot_shots_faced_ratio,0.9999999999999996
aerial_ratio,obv_gk_90,0.9999999999999993
90s_played,minutes,0.9999999999999979
assists_90,op_assists_90,0.9948970632716242
op_xgbuildup,xgbuildup,0.9915439640757645
op_xgbuildup_per_possession,xgbuildup_per_possession,0.9900373435302725
op_xa_90,xa_90,0.9896998370078517
defensive_actions_90,pressures_90,0.9886824162026318
minutes,starting_appearances,0.9883505527082898
90s_played,starting_appearances,0.9883505523030001
op_xgchain_per_possession,xgchain_per_possession,0.986277491624791
op_xgbuildup_90,xgbuildup_90,0.9845413531467035
op_xgchain,xgchain,0.9825112795884348
op_xgchain_90,xgchain_90,0.9807059967004353
goals_90,npg_90,0.9773541912942901
goals_faced_90,npot_psxg_faced_90,0.9695009296204476
goals_faced_90,np_psxg_faced_90,0.9695009296204476
key_passes_90,op_key_passes_90,0.9666469952335888
np_xg_faced_90,shots_faced_90,0.9642267126669992
op_xgbuildup,op_xgchain,0.9612555210140576
average_x_defensive_action,average_x_pressure,0.961193586851905
save_ratio,xs_ratio,0.9606493877468957
obv_90,obv_gk_90,0.9592538258013366
pass_length,s_pass_length,0.9579412206982404
average_x_pressure,fhalf_pressures_ratio,0.9574841665182449
op_passes_into_and_touches_inside_box_90,touches_inside_box_90,0.957046852026725
op_xgchain,xgbuildup,0.9552870394557741
ot_shots_faced_90,shots_faced_90,0.9541605578764343
xgbuildup,xgchain,0.9458946079984949
np_xg_faced_90,ot_shots_faced_90,0.9444963537735012
clearance_90,pressured_long_balls_90,0.9431045026115724
op_passes_into_box_90,passes_into_box_90,0.9381228645281378
op_xgbuildup,xgchain,0.9372422188451444
np_xg_faced_90,npot_psxg_faced_90,0.9351047368087262
np_psxg_faced_90,np_xg_faced_90,0.9351047368087262
goals_faced_90,np_xg_faced_90,0.9347357947137254
average_x_defensive_action,fhalf_pressures_ratio,0.9332483868092422
np_psxg_faced_90,ot_shots_faced_90,0.9315943321546851
npot_psxg_faced_90,ot_shots_faced_90,0.9315943321546851
aggressive_actions_90,pressures_90,0.9187750616252396
aggressive_actions_90,defensive_actions_90,0.9183380125822942
average_x_defensive_action,average_x_pass,0.9156755875844086
clearance_90,padj_clearances_90,0.9138840206934872
shots_faced_90,xs_ratio,0.9119671500970529
da_aggressive_distance,np_optimal_gk_dlength,0.9112845554548737
ot_shots_faced_90,save_ratio,0.9108406935104821
ot_shots_faced_90,xs_ratio,0.9030334729677203
90s_played,appearances,0.901976064222342
appearances,minutes,0.9019760628132661
