role,dimension_name,number_of_metrics,average_stability,explained_variance,bootstrap_stability,pca_contribution,redundancy_penalty,small_sample_penalty,raw_dimension_weight,adjusted_dimension_weight,confidence_level,warning_flags,decision_reason,experiment_008_status
CB,CB_D1,1,0.4188561351875647,0.2667020084654727,0.0,0.4196381342216961,0.0,0.2,0.2377935009824493,0.0913135819047432,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CB,CB_D2,1,0.7334218713338647,0.2667020084654727,0.0,0.5562278478160341,0.0,0.2,0.3406072203764289,0.1307944295646897,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CB,CB_D3,1,0.8812984000196331,0.2667020084654727,0.0,0.3183289948195936,0.0,0.2,0.3285178166617252,0.1261520539248123,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CB,CB_D4,1,0.7478055218520336,0.2667020084654727,0.0,0.3852549442460797,0.0,0.2,0.3098647157867986,0.1189891943534493,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CB,CB_D5,1,0.6784371845447976,0.2667020084654727,0.0,0.1357648957102674,0.0,0.2,0.2433183051258994,0.0934351270839692,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CB,CB_D6,1,0.6775817909216614,0.2667020084654727,0.0,0.3786108540559357,0.0,0.2,0.2916822023254804,0.112007042085517,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CB,CB_D7,1,0.8657870950645493,0.2667020084654727,0.0,0.2251792500462743,0.0,0.2,0.3061651545178412,0.1175685491737079,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CB,CB_D8,1,0.7602058265245751,0.2667020084654727,0.0,0.153118864465974,0.0,0.2,0.2664135729521873,0.1023037951575486,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CB,CB_D9,1,0.8019989892260351,0.2667020084654727,0.0,0.1697949633794775,0.0,0.2,0.2797791517832385,0.1074362267515625,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CF,CF_D1,4,0.69882552309705,0.2900334188072646,0.0,0.4128692428462587,0.0,0.2,0.3082986578739966,0.2276288952196653,low,small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CF,CF_D2,1,0.7352972205437803,0.5750393143855653,0.0,0.4394952889926631,0.0,0.2,0.3793782536061529,0.2801097265043216,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CF,CF_D3,1,0.7643287890151275,0.5750393143855653,0.0,0.298822928357185,0.0,0.2,0.3582113579121807,0.264481383795097,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
CF,CF_D4,1,0.659218719110932,0.5750393143855653,0.0,0.1764147498833072,0.0,0.2,0.3085033054403982,0.2277799944809161,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
FB,FB_D1,1,0.8689984581734526,0.300340132855603,0.0,0.0113756261015914,0.0,0.2,0.2709027817530675,0.1286751312635452,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
FB,FB_D2,1,0.7773768814463141,0.300340132855603,0.0,0.2012871706147649,0.0,0.2,0.286895912241189,0.1362716503969289,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
FB,FB_D3,2,0.7496699676011568,0.2781131790580697,0.0,0.3704851298125939,0.0,0.2,0.3096404539984103,0.1470749979196108,low,small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
FB,FB_D4,1,0.645534472271692,0.300340132855603,0.0,0.2886811781690557,0.0,0.2,0.2727325355501379,0.1295442393933857,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
FB,FB_D5,1,0.7123645277847562,0.300340132855603,0.0,0.5424708051508761,0.0,0.2,0.3395296742696373,0.1612719704160795,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
FB,FB_D6,1,0.7953734146950974,0.300340132855603,0.0,0.4229745688911194,0.0,0.2,0.3355525598761679,0.1593828952529595,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
FB,FB_D7,1,0.6598295674509338,0.300340132855603,0.0,0.3582124546802553,0.0,0.2,0.2900696136953957,0.1377791153574903,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
GK,GK_D1,3,0.768913386300944,0.2973655005545443,0.0,0.5084933356984165,0.0,0.2,0.3457109799628187,0.3154710460629024,low,small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
GK,GK_D2,1,0.9054376976697376,0.5637610478302597,0.0,0.4606409077487188,0.0,0.2,0.4221854385565328,0.385256152258395,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
GK,GK_D3,1,0.8696538624506264,0.5637610478302597,0.0,0.0324544642753368,0.0,0.2,0.3279600294092696,0.2992728016787025,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
MID,MID_D1,2,0.6558735303540169,0.319139667823076,0.0,0.4889397824828362,0.0,0.0,0.3987819216826831,0.1795532754603053,low,unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
MID,MID_D2,1,0.4707471256338217,0.4408480504962457,0.0,0.4200916311626326,0.0,0.0,0.3564590581048661,0.1604972240972159,low,single_metric_dimension;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
MID,MID_D4,1,0.3920347440401291,0.4408480504962457,0.0,0.3777465164978585,0.0,0.0,0.3222590649605648,0.145098530084538,low,single_metric_dimension;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
MID,MID_D5,1,0.6702185560188236,0.4408480504962457,0.0,0.193485639936574,0.0,0.0,0.359648989413852,0.1619335043894743,low,single_metric_dimension;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
MID,MID_D6,1,0.8162194917211144,0.4408480504962457,0.0,0.2237446621927594,0.0,0.0,0.4110140256885856,0.1850608329011326,low,single_metric_dimension;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
MID,MID_D7,1,0.8088370057280424,0.4408480504962457,0.0,0.0797637965285114,0.0,0.0,0.372804063474602,0.1678566330673337,low,single_metric_dimension;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
WINGER,WINGER_D1,2,0.7067979863465794,0.2906984416173122,0.0,0.4702204478897521,0.0,0.2,0.321815294624592,0.1814910313534977,low,small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
WINGER,WINGER_D2,1,0.6950163955273111,0.361721977029293,0.0,0.4382815695746953,0.0,0.2,0.3268046442473523,0.1843048261728965,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
WINGER,WINGER_D3,1,0.426794989784344,0.361721977029293,0.0,0.3518755272264757,0.0,0.2,0.2451502983993962,0.1382550215490106,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
WINGER,WINGER_D4,1,0.7725664381526439,0.361721977029293,0.0,0.3251147034605622,0.0,0.2,0.3227832812546056,0.1820369373273654,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
WINGER,WINGER_D5,1,0.7179147226014508,0.361721977029293,0.0,0.3682246378324338,0.0,0.2,0.3182888563966936,0.1795022603979958,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
WINGER,WINGER_D6,1,0.6812545321870446,0.361721977029293,0.0,0.0124339218858557,0.0,0.2,0.2383322675079204,0.1344099231992338,low,single_metric_dimension;small_sample;unstable_weight,weighted evidence blend normalized within role; prototype only,not_recomputed_full_population_unavailable
