role,requested_metric_alias,status,production_status,experiment_008_status
GK,save_ratio,candidate_blocked,research_only,blocked_full_population_unavailable
GK,np_psxg_faced_90,candidate_blocked,research_only,blocked_full_population_unavailable
GK,goals_faced_90,candidate_ready,research_only,blocked_full_population_unavailable
GK,obv_gk_90,candidate_blocked,research_only,blocked_full_population_unavailable
GK,ot_shots_faced_ratio,candidate_blocked,research_only,blocked_full_population_unavailable
GK,claim_success,missing_from_provider_stats,research_only,blocked_full_population_unavailable
GK,aerial_ratio,candidate_blocked,research_only,blocked_full_population_unavailable
GK,aerial_wins_90,candidate_blocked,research_only,blocked_full_population_unavailable
GK,crossing_ratio,candidate_blocked,research_only,blocked_full_population_unavailable
GK,passing_ratio,candidate_blocked,research_only,blocked_full_population_unavailable
GK,obv_pass_90,candidate_ready,research_only,blocked_full_population_unavailable
GK,pass_length,candidate_ready,research_only,blocked_full_population_unavailable
GK,p_pass_length,candidate_ready,research_only,blocked_full_population_unavailable
GK,average_x_defensive_action,candidate_ready,research_only,blocked_full_population_unavailable
CB,interceptions_90,candidate_ready,research_only,blocked_full_population_unavailable
CB,ball_recoveries_90,candidate_ready,research_only,blocked_full_population_unavailable
CB,aerial_ratio,candidate_ready,research_only,blocked_full_population_unavailable
CB,clearance_90,candidate_ready,research_only,blocked_full_population_unavailable
CB,blocks_per_shot,candidate_ready,research_only,blocked_full_population_unavailable
CB,obv_defensive_action_90,candidate_ready,research_only,blocked_full_population_unavailable
CB,op_f3_passes_90,candidate_ready,research_only,blocked_full_population_unavailable
CB,lbp_pass_ratio,missing_from_provider_stats,research_only,blocked_full_population_unavailable
CB,obv_pass_90,candidate_ready,research_only,blocked_full_population_unavailable
CB,xgbuildup_90,candidate_blocked,research_only,blocked_full_population_unavailable
CB,op_xgbuildup_90,candidate_ready,research_only,blocked_full_population_unavailable
FB,obv_dribble_carry_90,candidate_ready,research_only,blocked_full_population_unavailable
FB,op_f3_passes_90,candidate_ready,research_only,blocked_full_population_unavailable
FB,lbp_pass_ratio,missing_from_provider_stats,research_only,blocked_full_population_unavailable
FB,obv_pass_90,candidate_ready,research_only,blocked_full_population_unavailable
FB,crossing_ratio,candidate_blocked,research_only,blocked_full_population_unavailable
FB,box_cross_ratio,candidate_ready,research_only,blocked_full_population_unavailable
FB,dribble_ratio,candidate_ready,research_only,blocked_full_population_unavailable
FB,key_passes_90,candidate_ready,research_only,blocked_full_population_unavailable
FB,xa_90,candidate_blocked,research_only,blocked_full_population_unavailable
FB,ball_recoveries_90,candidate_ready,research_only,blocked_full_population_unavailable
FB,pressures_90,candidate_blocked,research_only,blocked_full_population_unavailable
FB,counterpressures_90,candidate_ready,research_only,blocked_full_population_unavailable
MID,op_passes_90,candidate_ready,research_only,blocked_full_population_unavailable
MID,passing_ratio,candidate_blocked,research_only,blocked_full_population_unavailable
MID,op_f3_passes_90,candidate_ready,research_only,blocked_full_population_unavailable
MID,obv_dribble_carry_90,candidate_ready,research_only,blocked_full_population_unavailable
MID,obv_pass_90,candidate_ready,research_only,blocked_full_population_unavailable
MID,xgbuildup_90,candidate_blocked,research_only,blocked_full_population_unavailable
MID,ball_recoveries_90,candidate_ready,research_only,blocked_full_population_unavailable
MID,pressures_90,candidate_blocked,research_only,blocked_full_population_unavailable
MID,counterpressures_90,candidate_ready,research_only,blocked_full_population_unavailable
MID,key_passes_90,candidate_ready,research_only,blocked_full_population_unavailable
MID,xa_90,candidate_blocked,research_only,blocked_full_population_unavailable
MID,through_balls_90,candidate_ready,research_only,blocked_full_population_unavailable
WINGER,obv_dribble_carry_90,candidate_ready,research_only,blocked_full_population_unavailable
WINGER,dribble_ratio,candidate_ready,research_only,blocked_full_population_unavailable
WINGER,crossing_ratio,candidate_ready,research_only,blocked_full_population_unavailable
WINGER,key_passes_90,candidate_ready,research_only,blocked_full_population_unavailable
WINGER,xa_90,candidate_blocked,research_only,blocked_full_population_unavailable
WINGER,touches_inside_box_90,candidate_blocked,research_only,blocked_full_population_unavailable
WINGER,obv_pass_90,candidate_ready,research_only,blocked_full_population_unavailable
WINGER,np_xg_90,candidate_ready,research_only,blocked_full_population_unavailable
WINGER,np_shots_90,candidate_ready,research_only,blocked_full_population_unavailable
WINGER,shot_on_target_ratio,candidate_blocked,research_only,blocked_full_population_unavailable
WINGER,obv_shot_90,candidate_blocked,research_only,blocked_full_population_unavailable
CF,np_xg_90,candidate_ready,research_only,blocked_full_population_unavailable
CF,goals_90,candidate_ready,research_only,blocked_full_population_unavailable
CF,np_shots_90,candidate_ready,research_only,blocked_full_population_unavailable
CF,shot_on_target_ratio,candidate_blocked,research_only,blocked_full_population_unavailable
CF,np_xg_per_shot,candidate_blocked,research_only,blocked_full_population_unavailable
CF,obv_shot_90,candidate_blocked,research_only,blocked_full_population_unavailable
CF,touches_inside_box_90,candidate_blocked,research_only,blocked_full_population_unavailable
CF,aerial_ratio,candidate_ready,research_only,blocked_full_population_unavailable
CF,aerial_wins_90,candidate_ready,research_only,blocked_full_population_unavailable
CF,op_xgchain_90,candidate_ready,research_only,blocked_full_population_unavailable
CF,xgbuildup_90,candidate_blocked,research_only,blocked_full_population_unavailable
CF,op_passes_into_and_touches_inside_box_90,candidate_ready,research_only,blocked_full_population_unavailable
