gap_type,observed,expected_minimum,gap_size,severity,status
missing_or_insufficient_competitions,0,3,3,critical,FAIL
missing_or_insufficient_seasons,0,2,2,critical,FAIL
missing_or_insufficient_matches,0,100,100,critical,FAIL
missing_or_insufficient_teams,0,20,20,critical,FAIL
missing_or_insufficient_player_match_rows,0,3000,3000,critical,FAIL
missing_or_insufficient_player_season_rows,0,300,300,critical,FAIL
missing_or_insufficient_events,0,250000,250000,critical,FAIL
missing_or_insufficient_lineups,0,3000,3000,critical,FAIL
missing_dataset:player_match_stats_direct,0,1,1,critical,FAIL
missing_dataset:team_match_stats_direct,0,1,1,critical,FAIL
missing_dataset:player_season_stats_direct,0,1,1,critical,FAIL
missing_dataset:team_season_stats_direct,0,1,1,critical,FAIL
missing_dataset:silver_events,0,1,1,critical,FAIL
missing_dataset:silver_lineups,0,1,1,critical,FAIL
missing_dataset:silver_matches,0,1,1,critical,FAIL
missing_dataset:competition_metadata,0,1,1,critical,FAIL
missing_dataset:season_metadata,0,1,1,critical,FAIL
missing_dataset:team_metadata,0,1,1,critical,FAIL
missing_dataset:player_metadata,0,1,1,critical,FAIL
