event_type,count,share
Pass,10081,0.287355338920244
Ball Receipt*,8533,0.24323014651388175
Carry,7722,0.22011287839917906
Pressure,3306,0.09423636052676586
Ball Recovery,1033,0.029445299583832164
Duel,655,0.018670543298557666
Clearance,485,0.013824753434809874
Block,368,0.0104897098227011
Foul Committed,348,0.009919616897554301
Goal Keeper,336,0.009577561142466221
Foul Won,334,0.009520551849951542
Dispossessed,316,0.009007468217319422
Miscontrol,258,0.007354198734393707
Shot,244,0.006955133686790947
Dribble,227,0.006470554700416168
Interception,165,0.0047032666324610915
Dribbled Past,156,0.004446724816145032
Substitution,108,0.0030785017957927143
Injury Stoppage,74,0.002109343823043156
50/50,67,0.0019098112992417765
Half End,48,0.0013682230203523175
Half Start,48,0.0013682230203523175
Tactical Shift,41,0.0011686904965509377
Referee Ball-Drop,34,0.0009691579727495582
Starting XI,22,0.0006271022176614788
Shield,21,0.0005985975714041388
Player Off,15,0.0004275696938600992
Player On,15,0.0004275696938600992
Bad Behaviour,11,0.0003135511088307394
Error,6,0.0001710278775440397
Offside,5,0.00014252323128669973
